strom;guildy;pocet;cas;treatment
M+P8;predatori;0;zacatek;meja+ptaci
M+P8;listozravi clenovci;0;zacatek;meja+ptaci
M+P8;mizu sajici clenovci;1;zacatek;meja+ptaci
M+P8;ostatni;1;zacatek;meja+ptaci
M+P9;predatori;3;zacatek;meja+ptaci
M+P9;listozravi clenovci;0;zacatek;meja+ptaci
M+P9;mizu sajici clenovci;1;zacatek;meja+ptaci
M+P9;ostatni;0;zacatek;meja+ptaci
M+P10;predatori;0;zacatek;meja+ptaci
M+P10;listozravi clenovci;2;zacatek;meja+ptaci
M+P10;mizu sajici clenovci;3;zacatek;meja+ptaci
M+P10;ostatni;0;zacatek;meja+ptaci
M+P11;predatori;0;zacatek;meja+ptaci
M+P11;listozravi clenovci;0;zacatek;meja+ptaci
M+P11;mizu sajici clenovci;2;zacatek;meja+ptaci
M+P11;ostatni;0;zacatek;meja+ptaci
M+P12;predatori;0;zacatek;meja+ptaci
M+P12;listozravi clenovci;2;zacatek;meja+ptaci
M+P12;mizu sajici clenovci;1;zacatek;meja+ptaci
M+P12;ostatni;0;zacatek;meja+ptaci
M+P13;predatori;1;zacatek;meja+ptaci
M+P13;listozravi clenovci;0;zacatek;meja+ptaci
M+P13;mizu sajici clenovci;2;zacatek;meja+ptaci
M+P13;ostatni;0;zacatek;meja+ptaci
M+P14;predatori;3;zacatek;meja+ptaci
M+P14;listozravi clenovci;1;zacatek;meja+ptaci
M+P14;mizu sajici clenovci;1;zacatek;meja+ptaci
M+P14;ostatni;0;zacatek;meja+ptaci
M+P15;predatori;1;zacatek;meja+ptaci
M+P15;listozravi clenovci;1;zacatek;meja+ptaci
M+P15;mizu sajici clenovci;0;zacatek;meja+ptaci
M+P15;ostatni;1;zacatek;meja+ptaci
M+P1;predatori;2;konec;meja+ptaci
M+P1;listozravi clenovci;0;konec;meja+ptaci
M+P1;mizu sajici clenovci;3;konec;meja+ptaci
M+P1;ostatni;0;konec;meja+ptaci
M+P2;predatori;3;konec;meja+ptaci
M+P2;listozravi clenovci;0;konec;meja+ptaci
M+P2;mizu sajici clenovci;4;konec;meja+ptaci
M+P2;ostatni;0;konec;meja+ptaci
M+P3;predatori;8;konec;meja+ptaci
M+P3;listozravi clenovci;0;konec;meja+ptaci
M+P3;mizu sajici clenovci;0;konec;meja+ptaci
M+P3;ostatni;4;konec;meja+ptaci
M+P4;predatori;3;konec;meja+ptaci
M+P4;listozravi clenovci;0;konec;meja+ptaci
M+P4;mizu sajici clenovci;2;konec;meja+ptaci
M+P4;ostatni;0;konec;meja+ptaci
M+P5;predatori;3;konec;meja+ptaci
M+P5;listozravi clenovci;0;konec;meja+ptaci
M+P5;mizu sajici clenovci;20;konec;meja+ptaci
M+P5;ostatni;0;konec;meja+ptaci
M+P6;predatori;3;konec;meja+ptaci
M+P6;listozravi clenovci;0;konec;meja+ptaci
M+P6;mizu sajici clenovci;2;konec;meja+ptaci
M+P6;ostatni;1;konec;meja+ptaci
M+P7;predatori;1;konec;meja+ptaci
M+P7;listozravi clenovci;0;konec;meja+ptaci
M+P7;mizu sajici clenovci;2;konec;meja+ptaci
M+P7;ostatni;1;konec;meja+ptaci
M+P8;predatori;13;konec;meja+ptaci
M+P8;listozravi clenovci;0;konec;meja+ptaci
M+P8;mizu sajici clenovci;20;konec;meja+ptaci
M+P8;ostatni;2;konec;meja+ptaci
M+P9;predatori;4;konec;meja+ptaci
M+P9;listozravi clenovci;0;konec;meja+ptaci
M+P9;mizu sajici clenovci;6;konec;meja+ptaci
M+P9;ostatni;0;konec;meja+ptaci
M+P10;predatori;1;konec;meja+ptaci
M+P10;listozravi clenovci;0;konec;meja+ptaci
M+P10;mizu sajici clenovci;2;konec;meja+ptaci
M+P10;ostatni;0;konec;meja+ptaci
M+P11;predatori;8;konec;meja+ptaci
M+P11;listozravi clenovci;9;konec;meja+ptaci
M+P11;mizu sajici clenovci;4;konec;meja+ptaci
M+P11;ostatni;0;konec;meja+ptaci
M+P12;predatori;3;konec;meja+ptaci
M+P12;listozravi clenovci;0;konec;meja+ptaci
M+P12;mizu sajici clenovci;2;konec;meja+ptaci
M+P12;ostatni;0;konec;meja+ptaci
M+P13;predatori;3;konec;meja+ptaci
M+P13;listozravi clenovci;0;konec;meja+ptaci
M+P13;mizu sajici clenovci;1;konec;meja+ptaci
M+P13;ostatni;1;konec;meja+ptaci
M+P14;predatori;5;konec;meja+ptaci
M+P14;listozravi clenovci;0;konec;meja+ptaci
M+P14;mizu sajici clenovci;3;konec;meja+ptaci
M+P14;ostatni;0;konec;meja+ptaci
M+P15;predatori;1;konec;meja+ptaci
M+P15;listozravi clenovci;0;konec;meja+ptaci
M+P15;mizu sajici clenovci;2;konec;meja+ptaci
M+P15;ostatni;1;konec;meja+ptaci
